instance                           n     g    nswaps         obj       bound      gap%    sols       nodes    status     runtime
R32.dat                           24     3         3      12.512       2.260    81.937      10       40491         9    7200.028
R34.dat                           24     1        14      80.738      80.738     0.000       2           1         2       0.026
R32.dat                           24     4         3       2.266       0.023    99.004      10       60967         9    7200.006
R34.dat                           24     2        14      29.866      29.866     0.000      10       31678         2    1541.533
R33.dat                           24     3        14      12.078       2.130    82.361      10       43912         9    7200.020
R35.dat                           24     1        28      73.511      73.511     0.000       2           1         2       0.057
R33.dat                           24     4        14       7.004       0.008    99.889      10      665497         9    7200.005
R35.dat                           24     2        28      27.170      27.170     0.000      10       37470         2    1399.318
R34.dat                           24     3        14      16.712       1.712    89.755      10       47943         9    7200.009
R36.dat                           24     1        28      94.744      94.744     0.000       2           1         2       0.027
R34.dat                           24     4        14       7.685       0.000    99.998      10      466001         9    7200.005
R35.dat                           24     3        28      15.209       1.794    88.207      10       51453         9    7200.033
R35.dat                           24     4        28      12.311       0.000   100.000      10      385670         9    7200.014
R36.dat                           24     2        28      30.046      28.870     3.915      10      152723         9    7200.003
R36.dat                           24     3        28      18.036       1.341    92.564      10       42880         9    7200.026
R36.dat                           24     4        28      10.824       0.000   100.000      10      374518         9    7200.004
